Nombre,Alias,Posición,Club,Nación,Liga,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Precio
Hendry Blank,Blank,CB++,RB Salzburg,Germany,Ö. Bundesliga,64,67,33,46,54,64,65,-1
Israel Suero Fernández,Suero Fernández,CAM++,CD Castellón,Spain,LALIGA HYPERMOTION,64,65,61,63,68,30,46,-1
Martin Šviderský,Šviderský,CDM++,UD Almería,Slovakia,LALIGA HYPERMOTION,64,66,47,61,62,62,62,-1
Miłosz Szczepański,Szczepański,CAM++,Piast Gliwice,Poland,PKO BP Ekstraklasa,64,81,56,62,66,36,58,-1
Michał Szromnik,Szromnik,GK++,Górnik Zabrze,Poland,PKO BP Ekstraklasa,64,64,60,62,68,48,60,-1
Tomoki Takamine,Takamine,CDM++,KV Kortrijk,Japan,1A Pro League,64,59,54,59,63,58,70,-1
Callum Talbot,Talbot,RB++,Melbourne City,Australia,A-League,64,78,42,57,63,57,67,-1
Atomu Tanaka,Tanaka,CAM++,HJK Helsinki,Japan,Finnliiga,64,67,58,62,67,56,60,-1
Adil Taoui,Taoui,LM++,LASK,France,Ö. Bundesliga,64,69,62,57,68,24,54,-1
Borys Tashchy,Tashchy,CAM++,FC Erzgebirge Aue,Ukraine,3. Liga,64,64,62,61,62,35,75,-1
Lyle Taylor,Taylor,ST++,Colchester,Montserrat,EFL League Two,64,69,64,57,63,38,62,-1
Allan Tchaptchet,Tchaptchet,CB++,Grenoble Foot 38,France,Ligue 2 BKT,64,54,33,42,44,64,76,-1
Iuri Antônio Teixeira Tavares,Iuri Tavares,LW++,Charlotte FC,Cape Verde Islands,MLS,64,69,58,64,67,25,57,-1
George Thomas,Thomas,CAM++,Cambridge Utd,Wales,EFL League One,64,77,61,62,67,58,62,-1
Terell Thomas,Thomas,CB++,Carlisle United,St. Lucia,EFL League Two,64,59,39,54,56,63,73,-1
Titouan Thomas,Thomas,CM++,Stade Lavallois,France,Ligue 2 BKT,64,63,56,62,63,60,67,-1
Ben Thompson,Thompson,CM++,Stevenage,England,EFL League One,64,69,59,61,66,61,67,-1
Nathan Thompson,Thompson,CB++,Stevenage,England,EFL League One,64,68,38,52,59,63,76,-1
Liam Thompson,Thompson,CDM++,Derby County,England,EFL Championship,64,60,46,61,64,61,53,-1
Dagur Dan Þór­halls­son,Þór­halls­son,RB++,Orlando City,Iceland,MLS,64,70,52,58,67,58,58,-1
James Tilley,Tilley,RM++,AFC Wimbledon,England,EFL League Two,64,75,61,59,65,50,52,-1
Alex Timossi Andersson,Timossi Andersson,RM++,Brommapojkarna,Sweden,Allsvenskan,64,86,57,59,64,30,51,-1
Kacper Tobiasz,Tobiasz,GK++,Legia Warszawa,Poland,PKO BP Ekstraklasa,64,64,60,57,68,28,64,-1
Noel Törnqvist,Törnqvist,GK++,Mjällby AIF,Sweden,Allsvenskan,64,64,65,63,63,46,64,-1
Ben Hamed Touré,Touré,ST++,AC Ajaccio,Côte d'Ivoire,Ligue 2 BKT,64,60,65,51,62,26,61,-1
Mohamed Touré,Touré,ST++,Randers FC,Australia,3F Superliga,64,85,60,52,65,31,66,-1
Ryley Towler,Towler,CB++,Portsmouth,England,EFL Championship,64,66,36,50,56,63,71,-1
Kristijan Trapanovski,Trapanovski,LW++,Dundee United,North Macedonia,cinch Prem,64,67,61,62,64,33,61,-1
Pol Tristán Jiménez,Tristán,GK++,Granada CF,Spain,LALIGA HYPERMOTION,64,62,62,62,66,28,61,-1
Antonis Tsiftsis,Tsiftsis,GK++,PAOK FC,Greece,Hellas Liga,64,68,60,63,67,29,62,-1
Grigore Turda,Turda,CB++,FC Gloria Buzău,Romania,SUPERLIGA,64,72,34,45,41,63,71,-1
Ed Turns,Turns,CB++,Brighton,Wales,Premier League,64,59,30,44,52,63,71,-1
Henrik Udahl,Udahl,ST++,HamKam Fotball,Norway,Eliteserien,64,72,64,47,60,23,69,-1
Oğulcan Ülgün,Ülgün,CDM++,Konyaspor,Türkiye,Trendyol Süper Lig,64,65,53,62,62,59,67,-1
Dario Ulrich,Ulrich,RM++,FC Luzern,Switzerland,CSSL,64,67,61,60,65,61,52,-1
Dan Peter Ulvestad,Ulvestad,CB++,Kristiansund BK,Norway,Eliteserien,64,32,44,48,44,63,73,-1
Ely Valderrey,Valderrey,LM++,Metropolitanos,Venezuela,Sudamericana,64,72,61,61,62,60,66,-1
Gastón Valles,Valles,ST++,FC Cartagena,Uruguay,LALIGA HYPERMOTION,64,68,63,55,62,30,68,-1
Koen Van Langendonck,Van Langendonck,GK++,KVC Westerlo,Belgium,1A Pro League,64,63,63,64,60,27,67,-1
Éric Vandenabeele,Vandenabeele,CB++,Rodez AF,France,Ligue 2 BKT,64,38,38,43,49,64,70,-1
Jeisson Vargas,Vargas,CAM++,Huachipato,Chile,Libertadores,64,65,59,62,68,35,57,-1
Ricardo José Varzim Miranda,Ricardinho,RB++,FC Petrolul,Portugal,SUPERLIGA,64,67,55,58,59,61,72,-1
Eric Veiga,Veiga,LB++,AVS Futebol SAD,Luxembourg,Liga Portugal,64,68,38,61,64,62,59,-1
Igor Vekič,Vekič,GK++,Vejle Boldklub,Slovenia,3F Superliga,64,63,64,68,67,30,62,-1
Josh Vela,Vela,CM++,Carlisle United,England,EFL League Two,64,61,59,62,63,61,80,-1
Samuel Velásquez,Velásquez,LB++,Atl. Nacional,Colombia,Liga Colombia,64,66,30,55,59,59,50,-1
Stefan Velkov,Velkov,CB++,Vejle Boldklub,Bulgaria,3F Superliga,64,58,41,49,55,62,74,-1
Nishan Velupillay,Velupillay,LM++,Melb. Victory,Australia,A-League,64,92,54,55,68,34,56,-1
Fredy Vera,Vera,RM++,Ind. Rivadavia,Paraguay,LPF,64,79,59,56,62,38,58,-1
Matthias Verreth,Verreth,CAM++,Brisigonza,Belgium,Serie BKT,64,71,62,62,67,37,59,-1
Gaute Vetti,Vetti,CM++,FK Bodø/Glimt,Norway,Eliteserien,64,56,49,61,64,61,64,-1
Mauro Vigorito,Vigorito,GK++,Como,Italy,Serie A TIM,64,63,63,60,65,39,65,-1
Alexis Villalba,Villalba,CB++,Sportivo Luqueño,Paraguay,Sudamericana,64,69,50,57,62,65,62,-1
Miguel Villar Alonso,Miki Villar,RM++,Jagiellonia,Spain,PKO BP Ekstraklasa,64,78,64,57,65,31,60,-1
Sam Vokes,Vokes,ST++,Wycombe,Wales,EFL League One,64,35,64,57,56,42,81,-1
Leonardo Vonić,Vonić,ST++,Rot-Weiss Essen,Croatia,3. Liga,64,71,62,43,66,25,66,-1
Andrija Vukčević,Vukčević,LB++,FC Cartagena,Montenegro,LALIGA HYPERMOTION,64,67,51,57,58,61,69,-1
Luka Vušković,Vušković,CB++,KVC Westerlo,Croatia,1A Pro League,64,61,62,50,58,59,75,-1
Ben Waine,Waine,ST++,Plymouth Argyle,New Zealand,EFL Championship,64,82,63,55,63,44,75,-1
Tim Waker,Waker,LB++,Brommapojkarna,Sweden,Allsvenskan,64,90,57,58,61,56,68,-1
Jamie Walker,Walker,CAM++,Bradford City,Scotland,EFL League Two,64,78,60,63,67,53,67,-1
Gang Wang,Wang Gang,RB++,Beijing Guoan,China PR,CSL,64,74,55,55,61,60,77,-1
Tennai Watson,Watson,RB++,Charlton Ath,England,EFL League One,64,72,39,55,59,59,60,-1
Tony Watt,Watt,ST++,Motherwell,Scotland,cinch Prem,64,71,65,61,64,46,73,-1
Diego Wayar,Wayar,CDM++,The Strongest,Bolivia,Libertadores,64,61,40,58,58,64,51,-1
Jensen Weir,Weir,CM++,Brighton,England,Premier League,64,67,63,60,64,58,61,-1
Sem Westerveld,Westerveld,GK++,AZ,Spain,Eredivisie,64,65,63,61,66,28,64,-1
Ethan Wheatley,Wheatley,ST++,Manchester Utd,England,Premier League,64,72,64,49,63,31,63,-1
Ben Whitfield,Whitfield,RM++,Burton Albion,England,EFL League One,64,83,60,59,66,49,50,-1
Ben Wiles,Wiles,CM++,Huddersfield,England,EFL League One,64,44,58,64,65,59,61,-1
Brynjólfur Willumsson,Willumsson,ST++,FC Groningen,Iceland,Eredivisie,64,70,63,54,64,38,70,-1
James Wilson,Wilson,CB++,Bristol Rovers,Wales,EFL League One,64,51,38,49,48,63,75,-1
Freddy Winsth,Winsth,RB++,IFK Värnamo,Sweden,Allsvenskan,64,67,31,52,59,58,69,-1
Nils Winter,Winter,RB++,Aleman. Aachen,Germany,3. Liga,64,73,56,60,59,59,70,-1
Casper Winther,Winther,CM++,Lyngby BK,Denmark,3F Superliga,64,63,55,61,67,56,60,-1
Jayden Fevrier,Fevrier,RW++,Stockport,England,EFL League One,64,91,55,56,65,51,78,-1
Sebastián Figueredo,Figueredo,RB++,Wanderers,Uruguay,Sudamericana,64,71,41,54,54,61,63,-1
Lewis Fiorini,Fiorini,CM++,Stockport,Scotland,EFL League One,64,67,59,60,66,55,59,-1
Jack Fitzwater,Fitzwater,CB++,Exeter City,England,EFL League One,64,65,37,48,54,64,69,-1
Tom Flanagan,Flanagan,CB++,Colchester,Northern Ireland,EFL League Two,64,43,34,49,47,63,77,-1
Josh Flint,Flint,CB++,Crawley Town,England,EFL League One,64,75,44,56,60,64,66,-1
Francisco Flores,Flores,CB++,Atlético Tucumán,Argentina,LPF,64,67,36,56,59,62,74,-1
Ian Forns Montes,Ian Forns,LB++,RCD Espanyol,Spain,LALIGA EA SPORTS,64,83,53,57,65,57,59,-1
Jake Forster-Caskey,Forster-Caskey,CM++,Stevenage,England,EFL League One,64,62,60,65,65,57,63,-1
Antonio Foti,Foti,CAM++,B. Dortmund II,Cyprus,3. Liga,64,68,60,60,67,52,55,-1
Guillaume François,François,RB++,R. Union St.-G.,Belgium,1A Pro League,64,60,57,61,66,63,63,-1
Ivan Franjic,Franjic,CAM++,Wehen Wiesbaden,Croatia,3. Liga,64,68,58,62,65,29,55,-1
Liam Fraser,Fraser,CDM++,FC Dallas,Canada,MLS,64,60,35,59,59,61,74,-1
Nick Freeman,Freeman,CM++,Stevenage,England,EFL League One,64,71,57,62,66,54,59,-1
Lewis Freestone,Freestone,CB++,Stevenage,England,EFL League One,64,75,33,50,58,62,76,-1
Toni Fuidias Ribera,Toni Fuidias,GK++,FC Cartagena,Spain,LALIGA HYPERMOTION,64,65,64,62,63,30,63,-1
James Furlong,Furlong,LB++,AFC Wimbledon,Republic of Ireland,EFL League Two,64,67,32,59,62,60,55,-1
Ethan Galbraith,Galbraith,CAM++,Leyton Orient,Northern Ireland,EFL League One,64,72,59,62,66,61,60,-1
Pedro Galindo,Galindo,GK++,Real Tomayapo,Bolivia,Sudamericana,64,67,65,62,63,46,61,-1
Marco Gantschnig,Gantschnig,CB++,Grazer AK,Austria,Ö. Bundesliga,64,54,46,51,56,64,63,-1
Matthew Garbett,Garbett,CAM++,NAC Breda,New Zealand,Eredivisie,64,73,60,61,66,51,66,-1
Luke Garbutt,Garbutt,LB++,Salford City,England,EFL League Two,64,67,53,62,60,61,64,-1
Luka Gavran,Gavran,GK++,Toronto FC,Canada,MLS,64,64,66,66,63,28,62,-1
Timur Gayret,Gayret,CAM++,SC Verl,Germany,3. Liga,64,69,58,59,66,42,57,-1
Simon Gefvert,Gefvert,RB++,Västerås SK,Sweden,Allsvenskan,64,78,53,60,64,55,65,-1
Aitor Gelardo Vegara,Gelardo,CM++,Racing de Ferrol,Spain,LALIGA HYPERMOTION,64,64,56,63,64,51,55,-1
Georgie Gent,Gent,LB++,Barnsley,England,EFL League One,64,85,48,58,64,55,57,-1
Tyrique George,George,LM++,Chelsea,England,Premier League,64,81,62,58,68,32,52,-1
Alberto Gerbo,Gerbo,CM++,SS Juve Stabia,Italy,Serie BKT,64,78,52,63,70,50,62,-1
Thomas Geyer,Geyer,CB++,SSV Ulm 1846,Germany,Bundesliga 2,64,66,25,44,54,65,67,-1
Ion Gheorghe,Gheorghe,LM++,FC Gloria Buzău,Romania,SUPERLIGA,64,84,58,60,64,44,60,-1
Simone Ghidotti,Ghidotti,GK++,Sampdoria,Italy,Serie BKT,64,66,64,59,64,35,63,-1
Óscar Gil Osés,Óscar Gil,CB++,CD Castellón,Spain,LALIGA HYPERMOTION,64,46,43,57,53,64,66,-1
Andrea Giorgini,Giorgini,CB++,Südtirol,Italy,Serie BKT,64,58,28,51,56,62,75,-1
Edvinas Girdvainis,Girdvainis,CB++,SV Sandhausen,Lithuania,3. Liga,64,54,25,48,43,62,73,-1
Ian Glavinovich,Glavinovich,CB++,Newell's,Argentina,LPF,64,63,32,53,53,66,62,-1
Michael Glück,Glück,CB++,VfB Stuttgart II,Austria,3. Liga,64,62,27,43,50,64,66,-1
Marcus Godinho,Godinho,LB++,Korona Kielce,Canada,PKO BP Ekstraklasa,64,75,31,55,68,57,65,-1
Fernando Godoy,Godoy,CM++,Sarmiento,Argentina,LPF,64,58,55,62,63,64,68,-1
Alan Godoy Domínguez,Alan Godoy,ST++,CD Eldense,Spain,LALIGA HYPERMOTION,64,74,62,48,68,31,60,-1
Udoka Godwin-Malife,Godwin-Malife,CB++,Burton Albion,England,EFL League One,64,81,32,53,59,61,75,-1
Nicolás Goitea,Goitea,CB++,Delfín S.C.,Argentina,Sudamericana,64,57,24,42,51,66,62,-1
Luka Gojković,Gojković,CAM++,FC Rapid 1923,Serbia,SUPERLIGA,64,69,56,64,66,33,54,-1
Julian Gölles,Gölles,RB++,Blau-Weiss Linz,Austria,Ö. Bundesliga,64,74,54,54,58,61,69,-1
David José Gomes O. Tavares,David Tavares,CM++,FC Gloria Buzău,Cape Verde Islands,SUPERLIGA,64,72,56,59,67,59,74,-1
Erick Gonzáles,Gonzáles,CDM++,Dep. Garcilaso,Peru,Sudamericana,64,59,32,56,52,59,69,-1
Brian González,González,RM++,Cerro Largo,Uruguay,Sudamericana,64,75,61,61,65,37,57,-1
David González,González,CM++,Racing Club,Argentina,Sudamericana,64,64,54,65,67,48,51,-1
Diego González Cabanes,Diego González,CB++,SD Huesca,Spain,LALIGA HYPERMOTION,64,61,42,54,56,65,63,-1
David González Plata,Nono,CM++,Korona Kielce,Spain,PKO BP Ekstraklasa,64,79,67,66,68,41,59,-1
Will Goodwin,Goodwin,ST++,Oxford United,England,EFL Championship,64,70,61,46,62,28,74,-1
Tristan Gooijer,Gooijer,RB++,PEC Zwolle,Netherlands,Eredivisie,64,73,38,52,64,61,67,-1
Anthony Gordillo,Gordillo,LB++,Dep. Garcilaso,Peru,Sudamericana,64,63,29,50,55,62,56,-1
Liam Gordon,Gordon,CB++,Motherwell,Scotland,cinch Prem,64,43,28,41,46,63,77,-1
Luis Antonio Gorocito,Gorocito,ST++,Racing Club,Uruguay,Sudamericana,64,55,68,38,59,21,70,-1
Rhyan Grant,Grant,RB++,Sydney FC,Australia,A-League,64,66,56,60,62,59,81,-1
Conor Grant,Grant,LB++,Port Vale,England,EFL League Two,64,66,58,61,63,59,67,-1
Josh Griffiths,Griffiths,GK++,Bristol Rovers,England,EFL League One,64,65,62,61,66,30,62,-1
Will Grigg,Grigg,ST++,Chesterfield,Northern Ireland,EFL League Two,64,63,64,49,62,32,64,-1
Maximilian Großer,Großer,CB++,Arminia Bielefeld,Germany,3. Liga,64,51,34,53,51,62,75,-1
Emin Grozdanic,Grozdanic,CB++,IFK Värnamo,Sweden,Allsvenskan,64,56,30,52,56,63,68,-1
Zsombor Gruber,Gruber,ST++,Ferencvárosi TC,Hungary,Magyar Liga,64,67,65,51,62,20,56,-1
Fabio Gruber,Gruber,CB++,SC Verl,Germany,3. Liga,64,61,28,46,48,64,69,-1
Sveinn Aron Guðjohnsen,Guðjohnsen,ST++,Hansa Rostock,Iceland,3. Liga,64,40,64,47,62,33,72,-1
Saulo Guerra,Guerra,RM++,Nacional Potosí,Bolivia,Sudamericana,64,68,56,62,63,59,59,-1
Matthew Guillaumier,Guillaumier,CDM++,Stal Mielec,Malta,PKO BP Ekstraklasa,64,67,59,64,64,60,67,-1
Thomas Gundelund,Gundelund,RB++,Vejle Boldklub,Denmark,3F Superliga,64,71,41,57,62,60,60,-1
Niklas Gunnarsson,Gunnarsson,CB++,Yverdon Sport FC,Norway,CSSL,64,52,49,55,56,62,76,-1
Thomas Gutierrez,Gutierrez,CB++,S. Ameliano,Venezuela,Sudamericana,64,61,35,52,49,64,65,-1
Jean Gutiérrez,Gutiérrez,CB++,Dep. Táchira,Venezuela,Libertadores,64,53,25,44,46,64,67,-1
Leon Guwara,Guwara,LB++,FC Ingolstadt 04,Gambia,3. Liga,64,80,39,54,64,60,69,-1
Nicholas Hagen,Hagen,GK++,Columbus Crew,Guatemala,MLS,64,64,61,60,64,32,63,-1
Jetmir Haliti,Haliti,CB++,Jagiellonia,Kosovo,PKO BP Ekstraklasa,64,89,31,47,61,63,70,-1
Vincent Harper,Harper,LB++,Exeter City,Kenya,EFL League One,64,90,45,55,66,55,74,-1
Shayon Harrison,Harrison,ST++,Politehnica Iași,England,SUPERLIGA,64,87,62,45,66,22,60,-1
Jessé Hautier,Hautier,RM++,Yverdon Sport FC,Switzerland,CSSL,64,60,54,60,65,30,55,-1
Lucien Hawryluk,Hawryluk,GK++,SV Waldhof,Germany,3. Liga,64,64,64,63,67,28,62,-1
Zakaria Hawsawi,Hawsawi,LB++,Al Raed,Saudi Arabia,ROSHN Saudi League,64,91,34,51,71,55,63,-1
Aaron Hayden,Hayden,CB++,Carlisle United,England,EFL League Two,64,64,30,44,52,62,75,-1
Justin Heekeren,Heekeren,GK++,FC Schalke 04,Germany,Bundesliga 2,64,64,62,68,66,39,63,-1
Melker Heier,Heier,RW++,IK Sirius,Sweden,Allsvenskan,64,73,62,59,66,52,63,-1
Karl Hein,Hein,GK++,R. Valladolid CF,Estonia,LALIGA EA SPORTS,64,61,63,56,66,35,64,-1
Mark Helm,Helm,CAM++,Fleetwood Town,England,EFL League Two,64,70,60,61,66,50,57,-1
Zach Hemming,Hemming,GK++,Leyton Orient,England,EFL League One,64,65,64,61,63,28,64,-1
Callum Hendry,Hendry,ST++,MK Dons,Scotland,EFL League Two,64,73,63,55,65,31,72,-1
Ben Heneghan,Heneghan,CB++,Port Vale,England,EFL League Two,64,43,28,42,42,63,74,-1
Yul Heo,Heo Yul,CB++,GwangJu FC,Korea Republic,K League 1,64,82,60,43,58,60,76,-1
Gerónimo Heredia,Heredia,RB++,Belgrano,Argentina,Sudamericana,64,75,43,54,58,59,62,-1
José Manuel Hernández,Hernández,RM++,Caracas F.C.,Venezuela,Libertadores,64,71,62,61,65,38,59,-1
Simen Hestnes,Hestnes,CM++,KFUM-Kameratene,Norway,Eliteserien,64,72,52,62,64,54,68,-1
Ben Hinchliffe,Hinchliffe,GK++,Stockport,England,EFL League One,64,65,60,62,66,40,65,-1
Otto Hindrich,Hindrich,GK++,CFR 1907 Cluj,Romania,SUPERLIGA,64,64,63,54,65,26,63,-1
Patrick Hoban,Hoban,ST++,Derry City,Republic of Ireland,SSE Airtricity PD,64,51,64,52,59,38,72,-1
Joe Hodge,Hodge,CDM++,Wolves,Republic of Ireland,Premier League,64,66,53,61,65,59,60,-1
Jonas Hofmann,Hofmann,CM++,Energie Cottbus,Germany,3. Liga,64,68,52,64,65,61,57,-1
Kasper Høgh,Høgh,ST++,FK Bodø/Glimt,Denmark,Eliteserien,64,77,62,50,62,28,64,-1
Oscar Højlund,Højlund,CM++,Frankfurt,Denmark,Bundesliga,64,74,56,60,66,61,66,-1
Dinko Horkaš,Horkaš,GK++,UD Las Palmas,Croatia,LALIGA EA SPORTS,64,64,61,61,66,48,62,-1
