Nombre,Alias,Posición,Club,Nación,Liga,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Precio
Dejan Kulusevski,Kulusevski,RM++,Spurs,Sweden,Premier League,82,75,77,80,83,57,80,71750
Stanislav Lobotka,Lobotka,CM++,SSC Napoli,Slovakia,Serie A TIM,82,72,69,80,81,75,75,71750
Chris Smalling,Smalling,CB++,AS Roma,England,Serie A TIM,82,54,47,58,61,85,79,61500
Marc Cucurella Saseta,Marc Cucurella,LB++,Chelsea,Spain,Premier League,82,75,60,80,80,78,76,66625
Sávio Moreira de Oliveira,Savinho,LW++,Manchester City,Brazil,Premier League,82,88,72,77,84,30,53,66625
Oliver Baumann,Baumann,GK++,TSG Hoffenheim,Germany,Bundesliga,82,81,80,78,83,39,79,66625
Kevin Trapp,Trapp,GK++,Frankfurt,Germany,Bundesliga,82,82,80,76,84,46,79,66625
Romelu Lukaku,Lukaku,ST++,Chelsea,Belgium,Premier League,82,79,82,73,74,38,82,66625
Thomas Partey,Partey,CDM++,Arsenal,Ghana,Premier League,82,62,71,80,77,79,82,71750
Fabián Ruiz Peña,Fabián Ruiz,CM++,Paris SG,Spain,Ligue 1 Uber Eats,82,54,76,80,80,75,72,66625
Fabian Schär,Schär,CB++,Newcastle Utd,Switzerland,Premier League,82,51,68,77,74,84,79,66625
Patrik Schick,Schick,ST++,Leverkusen,Czechia,Bundesliga,82,74,81,71,81,37,76,66625
Luke Shaw,Shaw,LB++,Manchester Utd,England,Premier League,82,75,57,82,78,81,78,71750
Niklas Süle,Süle,CB++,Borussia Dortmund,Germany,Bundesliga,82,70,51,67,64,83,79,66625
Sven Botman,Botman,CB++,Newcastle Utd,Netherlands,Premier League,82,60,37,63,65,83,83,61500
Marco Carnesecchi,Carnesecchi,GK++,Bergamo Calcio,Italy,Serie A TIM,82,84,79,71,85,30,83,66625
Edin Džeko,Džeko,ST++,Fenerbahçe,Bosnia and Herzegovina,Trendyol Süper Lig,82,57,82,73,76,45,76,66625
Luiz Frello Filho Jorge,Jorginho,CDM++,Arsenal,Italy,Premier League,82,46,67,83,80,73,71,66625
Niclas Füllkrug,Füllkrug,ST++,West Ham,Germany,Premier League,82,63,84,71,75,43,81,66625
Raphaël Guerreiro,Guerreiro,LB++,FC Bayern München,Portugal,Bundesliga,82,63,78,85,88,76,56,66625
Jonas Hofmann,Hofmann,CAM++,Leverkusen,Germany,Bundesliga,82,73,79,81,81,64,72,71750
Chris Smalling,Smalling,CB++,Al Fayha,England,ROSHN Saudi League,82,54,47,58,61,85,79,61500
Romelu Lukaku,Lukaku,ST++,SSC Napoli,Belgium,Serie A TIM,82,79,82,73,74,38,82,66625
Dominic Solanke,Solanke,ST++,Spurs,England,Premier League,81,75,81,66,78,29,83,40625
Benjamin Henrichs,Henrichs,RB++,RB Leipzig,Germany,Bundesliga,81,74,54,76,78,79,74,40625
Takefusa Kubo,Kubo,RW++,Real Sociedad,Japan,LALIGA EA SPORTS,81,84,76,76,83,40,60,40625
Alex Meret,Meret,GK++,SSC Napoli,Italy,Serie A TIM,81,80,78,72,84,44,83,40625
Arkadiusz Milik,Milik,ST++,Juventus,Poland,Serie A TIM,81,56,82,72,77,40,72,37500
Isaac Palazón Camacho,Isi Palazón,RM++,Rayo Vallecano,Spain,LALIGA EA SPORTS,81,84,78,79,81,39,64,40625
Stefan Savić,Savić,CB++,Trabzonspor,Montenegro,Trendyol Süper Lig,81,63,35,57,57,83,79,37500
Xaver Schlager,Schlager,CDM++,RB Leipzig,Austria,Bundesliga,81,72,70,74,78,75,79,40625
Milan Škriniar,Škriniar,CB++,Paris SG,Slovakia,Ligue 1 Uber Eats,81,57,45,60,65,83,80,37500
David Soria Solís,David Soria,GK++,Getafe CF,Spain,LALIGA EA SPORTS,81,81,79,73,82,43,80,40625
