Nombre,Alias,Posición,Club,Nación,Liga,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Precio
Kylian Mbappé,Mbappé,ST++,Real Madrid,France,LALIGA EA SPORTS,91,97,90,80,92,36,78,924000
Rodrigo Hernández Cascante,Rodri,CDM++,Manchester City,Spain,Premier League,91,66,80,86,84,87,85,990000
Erling Haaland,Haaland,ST++,Manchester City,Norway,Premier League,91,88,92,70,81,45,88,924000
Jude Bellingham,Bellingham,CAM++,Real Madrid,England,LALIGA EA SPORTS,90,80,87,83,88,78,83,675000
Vinícius José de Oliveira Júnior,Vini Jr.,LW++,Real Madrid,Brazil,LALIGA EA SPORTS,90,95,84,81,91,29,69,585000
Kevin De Bruyne,De Bruyne,CM++,Manchester City,Belgium,Premier League,90,67,87,94,87,65,78,675000
Harry Kane,Kane,ST++,FC Bayern München,England,Bundesliga,90,65,93,84,83,49,82,630000
Thibaut Courtois,Courtois,GK++,Real Madrid,Belgium,LALIGA EA SPORTS,89,85,89,76,90,46,88,535500
Lautaro Martínez,Martínez,ST++,Lombardia FC,Argentina,Serie A TIM,89,82,88,75,87,54,85,535500
Martin Ødegaard,Ødegaard,CM++,Arsenal,Norway,Premier League,89,70,82,89,89,67,66,535500
Gianluigi Donnarumma,Donnarumma,GK++,Paris SG,Italy,Ligue 1 Uber Eats,89,90,84,73,90,52,87,573750
Alisson Ramses Becker,Alisson,GK++,Liverpool,Brazil,Premier League,89,86,85,85,89,56,90,573750
Virgil van Dijk,van Dijk,CB++,Liverpool,Netherlands,Premier League,89,78,60,71,71,89,86,535500
Marc-André ter Stegen,ter Stegen,GK++,FC Barcelona,Germany,LALIGA EA SPORTS,89,86,85,89,91,47,86,573750
Mohamed Salah,Salah,RW++,Liverpool,Egypt,Premier League,89,89,87,82,88,45,75,535500
Robert Lewandowski,Lewandowski,ST++,FC Barcelona,Poland,LALIGA EA SPORTS,88,75,88,79,86,44,84,441000
Phil Foden,Foden,RW++,Manchester City,England,Premier League,88,86,86,85,90,57,63,441000
Lionel Messi,Messi,RW++,Inter Miami CF,Argentina,MLS,88,79,85,87,92,33,64,409500
Antoine Griezmann,Griezmann,ST++,Atlético de Madrid,France,LALIGA EA SPORTS,88,80,88,87,89,59,75,472500
Rúben Santos Gato Alves Dias,Rúben Dias,CB++,Manchester City,Portugal,Premier League,88,67,39,70,69,89,87,409500
Federico Valverde,Valverde,CM++,Real Madrid,Uruguay,LALIGA EA SPORTS,88,88,82,84,84,80,84,504000
Ederson Santana de Moraes,Ederson,GK++,Manchester City,Brazil,Premier League,88,87,82,91,87,64,86,472500
Bernardo Mota Carvalho e Silva,Bernardo Silva,CM++,Manchester City,Portugal,Premier League,88,75,78,86,92,71,69,441000
Jan Oblak,Oblak,GK++,Atlético de Madrid,Slovenia,LALIGA EA SPORTS,88,85,90,78,87,46,86,441000
Antonio Rüdiger,Rüdiger,CB++,Real Madrid,Germany,LALIGA EA SPORTS,88,82,55,73,70,86,86,441000
Florian Wirtz,Wirtz,CAM++,Leverkusen,Germany,Bundesliga,88,81,78,87,89,50,67,441000
Gregor Kobel,Kobel,GK++,Borussia Dortmund,Switzerland,Bundesliga,88,87,86,73,89,44,87,441000
William Saliba,Saliba,CB++,Arsenal,France,Premier League,87,82,39,70,74,87,83,321750
