Nombre,Alias,Posición,Club,Nación,Liga,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Precio
Daniel Wass,Wass,CM++,Brøndby IF,Denmark,3F Superliga,74,69,72,75,74,70,75,3510
Fernando Zuqui,Zuqui,CM++,Uni. Católica,Argentina,Sudamericana,74,70,63,75,72,69,69,3510
Sergio Akieme Rodríguez,Akieme,LB++,Stade de Reims,Spain,Ligue 1 Uber Eats,74,78,48,60,71,71,71,3240
Tiago Maria Antunes Gouveia,Tiago Gouveia,RM++,SL Benfica,Portugal,Liga Portugal,74,85,68,67,76,32,61,3240
Mats Rits,Rits,CDM++,RSC Anderlecht,Belgium,1A Pro League,74,71,69,71,73,72,73,3510
Omar Colley,Colley,CB++,Beşiktaş,Gambia,Trendyol Süper Lig,74,64,31,48,55,73,84,3240
Patrick Cutrone,Cutrone,ST++,Como,Italy,Serie A TIM,74,72,73,59,74,29,71,3240
Jonny Evans,Evans,CB++,Manchester Utd,Northern Ireland,Premier League,74,33,32,62,56,76,70,3240
Antonino Gallo,Gallo,LB++,Lecce,Italy,Serie A TIM,74,78,52,70,70,68,66,3510
Omar Colley,Colley,CB++,PAOK FC,Gambia,Hellas Liga,74,64,31,48,55,73,84,3240
Adam Idah,Idah,ST++,Celtic,Republic of Ireland,cinch Prem,73,80,72,57,69,24,78,2880
Birger Meling,Meling,LB++,F.C. København,Norway,3F Superliga,73,79,55,68,72,69,66,3120
Divock Origi,Origi,ST++,Milano FC,Belgium,Serie A TIM,73,71,72,66,72,27,72,2880
Francisco Pérez Martínez,Fran Pérez,RM++,Valencia CF,Spain,LALIGA EA SPORTS,73,75,68,70,74,39,56,2880
Francisco Pizzini,Pizzini,RM++,Vélez Sarsfield,Argentina,LPF,73,82,67,69,75,41,71,3120
Dirk Proper,Proper,CDM++,N.E.C. Nijmegen,Netherlands,Eredivisie,73,59,55,67,74,68,61,2880
Juan Pedro Ramírez López,Juanpe,CB++,Girona FC,Spain,LALIGA EA SPORTS,73,50,37,55,49,72,77,2880
Jacob Rasmussen,Rasmussen,CB++,Brøndby IF,Denmark,3F Superliga,73,56,39,60,62,72,79,2880
Mihailo Ristić,Ristić,LB++,RC Celta,Serbia,LALIGA EA SPORTS,73,75,64,66,73,67,68,3120
Connor Roberts,Roberts,RB++,Burnley,Wales,EFL Championship,73,76,61,70,70,68,73,3120
Patricio Rodríguez,Rodríguez,LW++,Bolívar,Argentina,Libertadores,73,82,68,70,77,29,39,2880
Juan Gabriel Rodríguez,Rodríguez,CB++,Talleres,Argentina,Libertadores,73,68,39,58,64,72,75,2880
Daan Rots,Rots,RM++,FC Twente,Netherlands,Eredivisie,73,80,67,70,73,39,60,2880
Tatsuhiro Sakamoto,Sakamoto,RM++,Coventry City,Japan,EFL Championship,73,80,64,69,75,58,60,3120
Ilie Sánchez Farres,Ilie Sánchez,CDM++,LAFC,Spain,MLS,73,47,49,64,69,69,75,2880
Max Aarons,Aarons,RB++,AFC Bournemouth,England,Premier League,73,81,42,62,73,69,74,3120
Himad Abdelli,Abdelli,CAM++,Angers SCO,Algeria,Ligue 1 Uber Eats,73,65,68,70,73,60,73,3120
Ilias Akhomach Chakkour,Ilias,RW++,Villarreal CF,Morocco,LALIGA EA SPORTS,73,74,70,68,74,28,57,2880
Agustín Almendra,Almendra,CM++,Racing Club,Argentina,Sudamericana,73,68,67,69,71,66,71,3120
Owen Wijndal,Wijndal,LB++,Ajax,Netherlands,Eredivisie,73,80,54,69,71,67,71,3120
Luke Woolfenden,Woolfenden,CB++,Ipswich,England,Premier League,73,68,35,61,63,72,79,2880
Mattia Zanotti,Zanotti,RB++,FC Lugano,Italy,CSSL,73,78,59,69,72,68,72,3120
