Nombre,Alias,Posición,Club,Nación,Liga,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Precio
Daizen Maeda,Maeda,LW++,Celtic,Japan,cinch Prem,74,93,71,65,75,60,74,3510
James Forrest,Forrest,RW++,Celtic,Scotland,cinch Prem,74,77,72,70,74,49,54,3240
Greg Taylor,Taylor,LB++,Celtic,Scotland,cinch Prem,74,72,55,73,73,71,73,3510
Mohammed Diomande,Diomande,CDM++,Rangers,Côte d'Ivoire,cinch Prem,74,76,68,72,79,68,71,3510
Danilo Pereira Da Silva,Danilo,ST++,Rangers,Brazil,cinch Prem,74,74,74,61,74,25,70,3240
Rıdvan Yılmaz,Yılmaz,LB++,Rangers,Türkiye,cinch Prem,74,86,56,67,78,68,62,3510
Nedim Bajrami,Bajrami,CAM++,Sassuolo,Albania,Serie BKT,74,75,68,73,77,58,65,3510
John Souttar,Souttar,CB++,Rangers,Scotland,cinch Prem,74,73,48,63,70,73,77,3510
Alexander Schlager,Schlager,GK++,RB Salzburg,Austria,Ö. Bundesliga,74,73,72,66,76,46,73,3510
Viktor Claesson,Claesson,CM++,F.C. København,Sweden,3F Superliga,74,72,71,72,76,63,76,3510
Rasmus Falk,Falk,CM++,F.C. København,Denmark,3F Superliga,74,75,55,70,81,66,69,3510
Carl Starfelt,Starfelt,CB++,RC Celta,Sweden,LALIGA EA SPORTS,74,75,31,53,68,74,76,3240
Niklas Stark,Stark,CB++,SV Werder Bremen,Germany,Bundesliga,74,74,50,62,66,74,76,3510
Thomas Strakosha,Strakosha,GK++,AEK Athens,Albania,Hellas Liga,74,74,73,72,75,43,71,3510
Pascal Struijk,Struijk,CB++,Leeds United,Netherlands,EFL Championship,74,56,46,59,64,74,78,3240
Luka Sučić,Sučić,CAM++,Real Sociedad,Croatia,LALIGA EA SPORTS,74,79,73,74,74,49,69,3510
Stoppila Sunzu,Sunzu,CB++,Changchun Yatai,Zambia,CSL,74,43,41,49,51,74,83,3240
Tomáš Suslov,Suslov,RM++,Hellas Verona,Slovakia,Serie A TIM,74,78,71,72,76,52,71,3510
Attila Szalai,Szalai,CB++,TSG Hoffenheim,Hungary,Bundesliga,74,72,45,62,63,74,79,3240
Damian Szymański,Szymański,CDM++,AEK Athens,Poland,Hellas Liga,74,70,64,65,68,73,81,3510
Flavien Tait,Tait,CM++,Samsunspor,France,Trendyol Süper Lig,74,68,71,74,75,67,71,3510
Matt Targett,Targett,LB++,Newcastle Utd,England,Premier League,74,65,47,71,70,73,66,3240
Kenneth Taylor,Taylor,CM++,Ajax,Netherlands,Eredivisie,74,74,68,76,74,60,69,3510
Nahuel Tenaglia,Tenaglia,RB++,D. Alavés,Argentina,LALIGA EA SPORTS,74,71,43,65,72,74,79,3510
Arnau Tenas Ureña,Arnau Tenas,GK++,Paris SG,Spain,Ligue 1 Uber Eats,74,73,70,80,77,52,72,3510
William Tesillo,Tesillo,CB++,Atl. Nacional,Colombia,Liga Colombia,74,64,29,62,67,76,74,3240
Phillip Tietz,Tietz,ST++,FC Augsburg,Germany,Bundesliga,74,65,74,56,68,33,79,3240
Karl Toko Ekambi,Toko Ekambi,LW++,Ettifaq FC,Cameroon,ROSHN Saudi League,74,83,74,69,75,24,70,3240
Luis Henrique Tomaz de Lima,Luis Henrique,LM++,OM,Brazil,Ligue 1 Uber Eats,74,82,67,71,73,45,72,3510
Pablo Torre Carral,Pablo Torre,CAM++,FC Barcelona,Spain,LALIGA EA SPORTS,74,72,64,76,76,45,53,3240
Facundo Torres,Torres,RM++,Orlando City,Uruguay,MLS,74,81,70,69,74,38,54,3240
Jordan Torunarigha,Torunarigha,CB++,KAA Gent,Nigeria,1A Pro League,74,82,41,63,63,74,76,3240
Cenk Tosun,Tosun,ST++,Fenerbahçe,Türkiye,Trendyol Süper Lig,74,66,75,67,71,36,72,3240
Adama Traoré,Traoré,RW++,Ferencvárosi TC,Mali,Magyar Liga,74,87,71,65,75,23,60,3240
Stefano Turati,Turati,GK++,Monza,Italy,Serie A TIM,74,75,71,71,78,35,74,3510
Matt Turner,Turner,GK++,Nott'm Forest,United States,Premier League,74,74,72,67,74,40,73,3510
Gennaro Tutino,Tutino,ST++,Sampdoria,Italy,Serie BKT,74,81,76,68,74,38,66,3510
Ayase Ueda,Ueda,ST++,Feyenoord,Japan,Eredivisie,74,75,75,57,68,28,70,3240
Filip Ugrinic,Ugrinic,CAM++,BSC Young Boys,Switzerland,CSSL,74,77,72,74,75,68,84,3780
Sven Ulreich,Ulreich,GK++,FC Bayern München,Germany,Bundesliga,74,75,69,62,79,41,73,3240
Nicolai Vallys,Vallys,CAM++,Brøndby IF,Denmark,3F Superliga,74,81,68,71,75,35,75,3510
Milan van Ewijk,van Ewijk,RB++,Coventry City,Netherlands,EFL Championship,74,92,57,64,71,69,71,3510
Ricky van Wolfswinkel,van Wolfswinkel,ST++,FC Twente,Netherlands,Eredivisie,74,66,74,69,70,48,73,3510
Vladyslav Vanat,Vanat,ST++,Dynamo Kyiv,Ukraine,Ukrayina Liha,74,79,74,59,73,26,64,3240
Nuno Albertino Varela Tavares,Nuno Tavares,LB++,Latium,Portugal,Serie A TIM,74,84,65,69,72,68,76,3510
Johan Vásquez,Vásquez,CB++,Genoa,Mexico,Serie A TIM,74,61,32,58,57,74,75,3240
Unai Vencedor Paris,Unai Vencedor,CM++,R. Racing Club,Spain,LALIGA HYPERMOTION,74,62,68,73,74,74,73,3510
Yorbe Vertessen,Vertessen,ST++,Union Berlin,Belgium,Bundesliga,74,89,73,66,74,34,70,3510
Arturo Vidal,Vidal,CM++,Colo-Colo,Chile,Libertadores,74,55,74,76,72,76,75,3510
Tonny Vilhena,Vilhena,CM++,Panathinaikos,Netherlands,Hellas Liga,74,70,72,75,74,73,76,3510
Antonio Villa Suárez,Toni Villa,LM++,Girona FC,Spain,LALIGA EA SPORTS,74,74,65,73,76,53,48,3240
Iván Villar Martínez,Iván Villar,GK++,RC Celta,Spain,LALIGA EA SPORTS,74,73,72,71,76,32,74,3240
Odysseas Vlachodimos,Vlachodimos,GK++,Newcastle Utd,Greece,Premier League,74,75,73,66,74,43,74,3510
Jed Wallace,Wallace,RM++,West Brom,England,EFL Championship,74,76,68,71,73,45,66,3240
Tsuyoshi Watanabe,Watanabe,CB++,KAA Gent,Japan,1A Pro League,74,77,29,47,55,75,76,3240
Timothy Weah,Weah,RM++,Juventus,United States,Serie A TIM,74,85,70,67,75,63,69,3510
Ashley Westwood,Westwood,CDM++,Charlotte FC,England,MLS,74,54,64,75,71,70,73,3510
Ben Whiteman,Whiteman,CDM++,Preston,England,EFL Championship,74,64,65,74,69,68,77,3510
Morgan Whittaker,Whittaker,RW++,Plymouth Argyle,England,EFL Championship,74,78,73,67,74,38,65,3240
Silvan Widmer,Widmer,RB++,1. FSV Mainz 05,Switzerland,Bundesliga,74,72,62,70,72,71,77,3510
Christopher Wooh,Wooh,CB++,Stade Rennais FC,Cameroon,Ligue 1 Uber Eats,74,68,45,57,62,73,76,3240
Joe Worrall,Worrall,CB++,Burnley,England,EFL Championship,74,50,25,51,45,75,76,3240
Roman Yaremchuk,Yaremchuk,ST++,Olympiacos FC,Ukraine,Hellas Liga,74,73,72,68,69,44,75,3510
Okay Yokuşlu,Yokuşlu,CDM++,Trabzonspor,Türkiye,Trendyol Süper Lig,74,56,70,70,68,72,81,3510
Christos Zafeiris,Zafeiris,CM++,Slavia Praha,Norway,Česká Liga,74,77,68,72,78,66,75,3510
Arsen Zakharyan,Zakharyan,LM++,Real Sociedad,Russia,LALIGA EA SPORTS,74,79,70,74,72,53,60,3510
Joseba Zaldúa Bengoetxea,Zaldúa,RB++,Cádiz CF,Spain,LALIGA HYPERMOTION,74,66,37,66,67,73,75,3240
Fernando Zampedri,Zampedri,ST++,Uni. Católica,Argentina,Sudamericana,74,58,78,56,68,29,75,3240
Cédric Zesiger,Zesiger,CB++,VfL Wolfsburg,Switzerland,Bundesliga,74,67,43,57,61,73,80,3240
Liel Abada,Abada,RW++,Charlotte FC,Israel,MLS,74,87,72,67,73,41,59,3240
Akor Jerome Adams,Adams,ST++,Montpellier,Nigeria,Ligue 1 Uber Eats,74,81,73,56,70,29,76,3240
Anel Ahmedhodžić,Ahmedhodžić,CB++,Sheffield Utd,Bosnia and Herzegovina,EFL Championship,74,74,41,59,61,74,78,3240
Ludovic Ajorque,Ajorque,ST++,Stade Brestois 29,France,Ligue 1 Uber Eats,74,52,75,62,66,45,84,3240
Kevin Akpoguma,Akpoguma,CB++,TSG Hoffenheim,Nigeria,Bundesliga,74,74,48,59,70,75,74,3510
Ali Al Bulayhi,Al Bulayhi,CB++,Al Hilal,Saudi Arabia,ROSHN Saudi League,74,51,38,43,46,73,85,3240
Sultan Al Ghannam,Al Ghannam,RB++,Al Nassr,Saudi Arabia,ROSHN Saudi League,74,81,60,73,75,66,68,3510
Rubén Alcaraz Jiménez,Rubén Alcaraz,CM++,Cádiz CF,Spain,LALIGA HYPERMOTION,74,51,71,76,71,73,81,3510
Samuel Almeida Costa,Samú Costa,CDM++,RCD Mallorca,Portugal,LALIGA EA SPORTS,74,62,63,67,68,70,73,3510
Sergio Álvarez Díaz,Sergio Álvarez,CDM++,SD Eibar,Spain,LALIGA HYPERMOTION,74,56,65,67,67,70,82,3510
Carlos Vinícius Alves Morais,Vinícius,ST++,Fulham,Brazil,Premier League,74,70,75,60,69,41,79,3240
Julian Araujo,Araujo,RB++,AFC Bournemouth,Mexico,Premier League,74,90,33,62,69,70,75,3240
Sergio Arribas Calvo,Arribas,CAM++,UD Almería,Spain,LALIGA HYPERMOTION,74,69,76,70,76,32,51,3240
